generation,AlwaysCooperate,AlwaysDefect,TitForTat,RandomStrategy,Grudger,GenerousTitForTat,TitForTwoTats,Forgiver
1,23.666666666666668,25.555555555555557,28.11111111111111,29.444444444444443,28.666666666666668,26.77777777777778,26.88888888888889,27.444444444444443
2,24.824,25.03053435114504,28.77536231884058,30.309859154929576,29.37857142857143,22.753731343283583,26.932835820895523,29.154411764705884
3,21.762295081967213,25.096,29.077464788732396,25.41830065359477,28.86986301369863,0.0,24.386363636363637,29.785714285714285
4,0.0,22.333333333333332,29.476510067114095,27.05,30.714285714285715,0.0,26.248,30.0
5,0.0,0.0,31.76,23.404580152671755,30.73780487804878,0.0,28.75409836065574,29.41830065359477
6,0.0,0.0,32.125,0.0,22.311764705882354,0.0,30.016528925619834,31.926174496644297
7,0.0,0.0,29.510526315789473,0.0,0.0,0.0,26.41322314049587,29.218934911242602
8,0.0,0.0,30.25,0.0,0.0,0.0,0.0,34.857142857142854
9,0.0,0.0,30.818181818181817,0.0,0.0,0.0,0.0,30.0
10,0.0,0.0,34.76470588235294,0.0,0.0,0.0,0.0,33.94736842105263
11,0.0,0.0,31.485714285714284,0.0,0.0,0.0,0.0,29.81081081081081
12,0.0,0.0,33.4054054054054,0.0,0.0,0.0,0.0,30.742857142857144
13,0.0,0.0,32.82089552238806,0.0,0.0,0.0,0.0,31.22641509433962
14,0.0,0.0,25.31578947368421,0.0,0.0,0.0,0.0,29.794701986754966
15,0.0,0.0,29.170212765957448,0.0,0.0,0.0,0.0,33.395348837209305
