generation,AlwaysCooperate,AlwaysDefect,TitForTat,RandomStrategy,Grudger
1,24.0,38.5,27.166666666666668,28.166666666666668,27.5
2,0.0,16.949367088607595,18.982142857142858,19.551724137931036,20.157894736842106
3,0.0,19.93103448275862,22.44736842105263,20.56198347107438,30.175
4,0.0,20.549180327868854,25.149122807017545,25.327433628318584,26.7682119205298
5,0.0,20.92233009708738,30.06140350877193,23.25438596491228,31.781065088757398
6,0.0,0.0,30.0,0.0,30.0
7,0.0,0.0,30.0,0.0,30.0
8,0.0,0.0,30.0,0.0,30.0
9,0.0,0.0,30.0,0.0,30.0
10,0.0,0.0,30.0,0.0,30.0
11,0.0,0.0,30.0,0.0,30.0
12,0.0,0.0,30.0,0.0,30.0
13,0.0,0.0,30.0,0.0,30.0
14,0.0,0.0,30.0,0.0,30.0
15,0.0,0.0,30.0,0.0,30.0
